plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
12,0,1,1,IBR,20000000.0
12,0,1,1,IBR,20000000.0
71,8,12,4,IBR,3880000.0
53,5,8,3,IBR,4400000.0
144,6,24,18,IBR,25200000.0
72,2,12,10,IBR,12000000.0
81,0,14,14,IBR,19000000.0
72,2,12,10,IBR,18000000.0
24,1,2,1,IBR,35000000.0
60,5,10,5,IBR,7859180.0
132,8,22,14,IBR,7500000.0
60,5,9,4,IBR,9000000.0
96,2,16,14,IBR,25000000.0
60,2,10,8,IBR,10000000.0
84,2,14,12,IBR,15000000.0
72,2,12,10,IBR,15000000.0
72,2,12,10,IBR,12000000.0
60,2,10,8,IBR,10000000.0
84,2,14,12,IBR,6000000.0
60,0,10,10,IBR,20000000.0
24,0,4,4,IBR,6500000.0
8,0,1,1,IBR,5000000.0
8,0,1,1,IBR,37500000.0
36,0,6,6,IBR,10000000.0
12,0,1,1,IBR,22400000.0
120,2,20,18,IBR,20000000.0
95,10,16,6,IBR,9693200.0
72,2,12,10,IBR,11000000.0
77,8,13,5,IBR,21400000.0
36,0,6,6,IBR,3300000.0
72,2,12,10,IBR,11000000.0
60,4,20,16,IBR,14000000.0
33,1,6,5,DTF,581422.0
60,2,10,8,IBR,20000000.0
37,3,7,4,IBR,5999685.0
72,2,12,10,IBR,7000000.0
60,0,10,10,IBR,10500000.0
60,0,10,10,IBR,11900000.0
72,2,12,10,IBR,12000000.0
24,0,2,2,IBR,15000000.0
60,1,10,9,IBR,24000000.0
36,3,6,3,IBR,7250000.0
12,0,1,1,IBR,10000000.0
10,0,1,1,IBR,10710000.0
96,9,16,7,IBR,35000000.0
72,0,24,24,IBR,15000000.0
84,8,14,6,IBR,18537000.0
71,8,12,4,IBR,5151000.0
60,2,10,8,IBR,10000000.0
18,0,1,1,IBR,20000000.0
7,0,1,1,IBR,6000000.0
36,0,6,6,IBR,2500000.0
10,0,1,1,IBR,45000000.0
91,9,15,6,IBR,10000000.0
84,2,14,12,IBR,15000000.0
87,9,15,6,IBR,5500000.0
60,4,20,16,IBR,12900000.0
96,0,16,16,IBR,34000000.0
81,9,14,5,IBR,6000000.0
96,2,16,14,IBR,10000000.0
18,0,1,1,IBR,7000000.0
10,0,1,1,IBR,12000000.0
12,0,1,1,IBR,7000000.0
91,9,15,6,IBR,15000000.0
36,0,6,6,IBR,20000000.0
88,0,8,8,DTF,8399917.0
72,0,12,12,IBR,15000000.0
120,2,20,18,IBR,15000000.0
82,8,13,5,IBR,10000000.0
36,0,6,6,IBR,8000000.0
24,1,4,3,DTF,5358119.0
60,0,20,20,IBR,25000000.0
24,0,8,8,IBR,6048000.0
94,9,15,6,IBR,10000000.0
47,4,8,4,DTF,5380236.0
8,0,1,1,IBR,200000000.0
36,0,6,6,IBR,2000000.0
96,2,16,14,IBR,300000000.0
